x,y,crs,id_unique_code,version,province_code,province_name_original,plot
528000.0012833354,4104000.001718078,23030,04_0962_xx_A4_xx,ifn3,04,Almeria,0962
529000.001282615,4104000.001717704,23030,04_0963_NN_A1_xx,ifn3,04,Almeria,0963
514000.0012938354,4103000.0017240383,23030,04_0965_NN_A1_xx,ifn3,04,Almeria,0965
516000.0012923851,4103000.001723285,23030,04_0966_NN_A1_xx,ifn3,04,Almeria,0966
517000.00129166053,4103000.0017229137,23030,04_0967_NN_A1_xx,ifn3,04,Almeria,0967
518000.0012909361,4103000.001722538,23030,04_0968_NN_A1_xx,ifn3,04,Almeria,0968
519000.00129021204,4103000.001722167,23030,04_0969_NN_A1_xx,ifn3,04,Almeria,0969
520000.00128948834,4103000.001721792,23030,04_0970_NN_A1_xx,ifn3,04,Almeria,0970
521000.00128876494,4103000.0017214175,23030,04_0971_NN_A1_xx,ifn3,04,Almeria,0971
526000.0012851531,4103000.0017195493,23030,04_0972_NN_A1_xx,ifn3,04,Almeria,0972
527000.0012844315,4103000.001719179,23030,04_0973_NN_A1_xx,ifn3,04,Almeria,0973
528000.0012837106,4103000.001718803,23030,04_0974_xx_A4C_xx,ifn3,04,Almeria,0974
514000.00129421166,4102000.0017247675,23030,04_0976_NN_A1_xx,ifn3,04,Almeria,0976
515000.0012934861,4102000.0017243903,23030,04_0977_NN_A3C_xx,ifn3,04,Almeria,0977
515000.0012934861,4102000.0017243903,23030,04_0977_xx_A3E_xx,ifn3,04,Almeria,0977
516000.00129276095,4102000.001724017,23030,04_0978_NN_A3C_xx,ifn3,04,Almeria,0978
516000.00129276095,4102000.001724017,23030,04_0978_xx_A3E_xx,ifn3,04,Almeria,0978
517000.00129203615,4102000.001723644,23030,04_0979_NN_A3C_xx,ifn3,04,Almeria,0979
517000.00129203615,4102000.001723644,23030,04_0979_xx_A3E_xx,ifn3,04,Almeria,0979
519000.0012905877,4102000.0017228937,23030,04_0980_NN_A1_xx,ifn3,04,Almeria,0980
520000.00128986395,4102000.001722521,23030,04_0981_NN_A1_xx,ifn3,04,Almeria,0981
522000.00128841744,4102000.001721772,23030,04_0982_NN_A1_xx,ifn3,04,Almeria,0982
528000.0012840854,4102000.001719536,23030,04_0983_xx_A4_xx,ifn3,04,Almeria,0983
515000.00129386235,4101000.0017251195,23030,04_0984_NN_A3C_xx,ifn3,04,Almeria,0984
515000.00129386235,4101000.0017251195,23030,04_0984_xx_A3E_xx,ifn3,04,Almeria,0984
518000.00129168766,4101000.0017239964,23030,04_0985_NN_A1_xx,ifn3,04,Almeria,0985
519000.0012909635,4101000.0017236224,23030,04_0986_NN_A1_xx,ifn3,04,Almeria,0986
520000.0012902396,4101000.0017232476,23030,04_0987_NN_A1_xx,ifn3,04,Almeria,0987
519000.00129133917,4100000.001724353,23030,04_0990_NN_A1_xx,ifn3,04,Almeria,0990
523000.0012884456,4100000.0017228574,23030,04_0991_xx_A4C_xx,ifn3,04,Almeria,0991
507000.00130193715,4095000.0017325054,23030,04_1025_NN_A3C_xx,ifn3,04,Almeria,1025
507000.00130193715,4095000.0017325054,23030,04_1025_xx_A3E_xx,ifn3,04,Almeria,1025
509000.0012940815,4112000.0017193574,23030,04_2070_xx_NN_xx,ifn3,04,Almeria,2070
513000.0012911784,4112000.0017178548,23030,04_2071_xx_NN_xx,ifn3,04,Almeria,2071
508000.00129668874,4107000.001723374,23030,04_2072_xx_NN_xx,ifn3,04,Almeria,2072
511000.0012945088,4107000.0017222473,23030,04_2073_xx_NN_xx,ifn3,04,Almeria,2073
505000.0013015089,4100000.0017296067,23030,04_2074_xx_NN_xx,ifn3,04,Almeria,2074
510000.0012978694,4100000.0017277272,23030,04_2075_xx_NN_xx,ifn3,04,Almeria,2075
518000.0012913118,4102000.001723269,23030,04_2078_xx_NN_xx,ifn3,04,Almeria,2078
515000.0012942384,4100000.001725848,23030,04_2079_xx_NN_xx,ifn3,04,Almeria,2079
517000.0012927882,4100000.001725104,23030,04_2080_xx_NN_xx,ifn3,04,Almeria,2080
526000.0012862786,4100000.001721737,23030,04_2081_xx_NN_xx,ifn3,04,Almeria,2081
477000.0013140935,4121000.001724876,23030,18_0973_NN_A1_xx,ifn3,18,Granada,0973
482000.00131079357,4120000.0017237077,23030,18_0981_NN_A1_xx,ifn3,18,Granada,0981
477000.00131484936,4119000.001726337,23030,18_0987_xx_A4C_xx,ifn3,18,Granada,0987
483000.00131043635,4119000.0017240583,23030,18_0988_xx_A4_xx,ifn3,18,Granada,0988
483000.00131081394,4118000.0017247866,23030,18_0990_NN_A1_xx,ifn3,18,Granada,0990
482000.00131230406,4116000.001726624,23030,18_0993_NN_A1_xx,ifn3,18,Granada,0993
483000.0013115693,4116000.001726243,23030,18_0994_NN_A1_xx,ifn3,18,Granada,0994
480000.0013141529,4115000.0017281137,23030,18_0997_NN_A1_xx,ifn3,18,Granada,0997
482000.0013126818,4115000.001727354,23030,18_0998_NN_A1_xx,ifn3,18,Granada,0998
480000.00131453085,4114000.0017288416,23030,18_1000_xx_A4_xx,ifn3,18,Granada,1000
481000.00131379504,4114000.001728463,23030,18_1001_NN_A1_xx,ifn3,18,Granada,1001
484000.0013100795,4118000.00172441,23030,18_1060_NN_A3C_xx,ifn3,18,Granada,1060
484000.0013100795,4118000.00172441,23030,18_1060_xx_A3E_xx,ifn3,18,Granada,1060
486000.00130861165,4118000.0017236522,23030,18_1061_NN_A1_xx,ifn3,18,Granada,1061
485000.00130972307,4117000.0017247596,23030,18_1062_NN_A1_xx,ifn3,18,Granada,1062
484000.00131083454,4116000.0017258665,23030,18_1063_NN_A3C_xx,ifn3,18,Granada,1063
484000.00131083454,4116000.0017258665,23030,18_1063_xx_A3E_xx,ifn3,18,Granada,1063
484000.0013112122,4115000.001726596,23030,18_1066_NN_A1_xx,ifn3,18,Granada,1066
486000.0013101215,4114000.0017265677,23030,18_1067_xx_A4_xx,ifn3,18,Granada,1067
492000.00130572426,4114000.0017242953,23030,18_1070_xx_A4_xx,ifn3,18,Granada,1070
496000.00130279927,4114000.001722787,23030,18_1071_NN_A1_xx,ifn3,18,Granada,1071
449000.0013397873,4108000.0017450848,23030,18_1176_NN_A3C_xx,ifn3,18,Granada,1176
