"COD_parcela";"nr_arboles"
"25-A-1";16
"2500-N-N";5
"2503-N-N";3
"2504-N-N";17
"2505-N-N";1
"2506-N-N";34
"2507-N-N";11
"251-A-1";10
"2510-N-N";14
"2511-N-N";34
"2514-N-N";40
"2515-N-N";7
"2516-N-N";12
"2517-N-N";8
"2518-N-N";5
"2519-N-N";2
"2520-N-N";2
"2522-N-N";3
"2523-N-N";5
"2526-N-N";1
"2527-N-N";24
"2528-N-N";4
"253-A-4";16
"2530-N-N";2
"2531-N-N";6
"2532-N-N";25
"2533-N-N";4
"2536-N-N";2
"2537-N-N";1
"2538-N-N";24
"2539-N-N";21
"254-A-1";35
"2541-N-N";6
"2543-N-N";9
"2544-N-N";1
"2548-N-N";15
"255-A-1";19
"2551-N-N";5
"2555-N-N";3
"2556-N-N";15
"2557-N-N";10
"256-A-4";18
"2566-N-N";5
"257-A-1";4
"2571-N-N";1
"2573-N-N";16
"2576-N-N";6
"2579-N-N";10
"258-A-1";1
"2580-N-N";3
"2584-N-N";3
"26-A-4";28
"261-A-1";5
"262-A-4C";1
"263-A-1";12
"266-A-1";8
"267-A-4C";1
"27-A-1";24
"271-A-1";4
"274-A-3C";3
"28-A-3C";14
"28-A-3E";10
"280-A-4";8
"282-A-4";2
"283-A-1";3
"284-A-1";5
"285-A-1";17
"288-A-1";4
"289-A-1";4
"29-A-1";9
"290-A-1";2
"294-A-4";5
"296-A-1";4
"3-A-1";5
"30-A-1";8
"300-A-1";3
"301-A-1";9
"302-A-1";11
"303-A-1";12
"305-A-1";10
"306-A-1";8
"307-A-1";10
"308-A-1";4
"309-A-1";14
"31-A-1";4
"310-A-1";5
"311-A-1";16
"312-A-1";3
"314-A-1";7
"315-A-1";7
"316-A-1";6
"317-A-1";8
"318-A-1";17
"32-A-4";3
"320-A-1";7
"324-A-1";5
"327-A-1";11
"328-A-1";4
"33-A-1";14
"330-A-1";11
"331-A-1";20
"333-A-1";10
"335-A-1";6
"336-A-1";9
"338-A-1";1
"339-A-4";2
"34-A-1";19
"340-A-1";7
"342-A-1";12
"343-A-1";14
"345-A-4C";7
"35-A-1";13
"351-A-4C";1
"352-A-1";2
"358-A-1";14
"359-A-1";3
"360-A-1";5
"361-A-1";10
"362-A-1";2
"363-A-1";12
"364-A-1";5
"365-A-1";9
"368-A-1";10
"37-A-3C";8
"37-A-3E";22
"371-A-1";9
"379-A-1";1
"38-A-4C";1
"381-A-4";3
"384-A-1";2
"39-A-4";6
"391-A-1";5
"399-A-1";2
"4-A-1";7
"400-A-1";5
"41-A-1";5
"410-A-1";11
"411-A-1";16
"416-A-1";4
"418-A-3C";5
"418-A-3E";2
"42-A-1";9
"423-A-1";6
"429-A-1";25
"43-A-1";10
"430-A-4";10
"431-A-1";12
"432-A-1";9
"435-A-1";20
"437-A-1";8
"438-A-1";5
"439-A-4";9
"44-A-1";12
"440-A-4";4
"441-A-4";10
"444-A-4C";1
"445-A-4";4
"447-A-4";7
"448-A-3C";2
"448-A-3E";4
"449-A-3C";1
"45-A-1";7
"451-A-1";11
"452-A-1";4
"454-A-1";14
"457-A-1";11
"458-A-1";13
"459-A-1";1
"46-A-1";16
"460-A-1";13
"461-A-1";1
"462-A-4C";3
"463-A-4C";5
"465-A-4";10
"468-A-4";14
"469-A-1";2
"47-A-1";20
"471-A-1";5
"474-A-1";4
"475-A-1";2
"477-A-1";7
"478-A-4";15
"479-A-4C";8
"48-A-1";24
"480-A-4";5
"483-A-4";1
"484-A-1";6
"487-A-4";16
"488-A-4";5
"489-A-4";4
"49-A-1";19
"491-A-3C";14
"492-A-3C";3
"492-A-3E";2
"493-A-1";14
"496-A-4";2
"5-A-1";11
"500-A-1";8
"502-A-1";20
"504-A-1";18
"505-A-4";22
"506-A-1";9
"508-A-4";1
"509-A-1";9
"510-A-1";18
"511-A-1";16
"513-A-4";18
"514-A-4";12
"515-A-1";8
"516-A-1";28
"518-A-3C";6
"518-A-3E";6
"519-A-1";2
"524-A-1";6
"525-A-1";1
"526-A-1";6
"53-A-1";7
"532-A-1";13
"534-A-1";9
"535-A-1";29
"536-A-1";6
"538-A-4";2
"539-A-1";1
"54-A-1";6
"540-A-4C";1
"541-A-1";5
"542-A-4";5
"543-A-4C";1
"547-A-1";4
"548-A-1";2
"55-A-1";15
"550-A-1";1
"551-A-1";4
"554-A-4";4
"556-A-3C";6
"559-A-1";7
"56-A-1";9
"562-A-1";5
"564-A-1";14
"565-A-1";18
"567-A-4C";5
"569-A-4";14
"570-A-1";5
"573-A-1";2
"577-A-1";7
"58-A-1";15
"586-A-1";4
"589-A-1";3
"590-A-1";3
"594-A-1";27
"595-A-1";32
"596-A-1";1
"597-A-1";21
"598-A-1";22
"599-A-1";1
"6-A-1";24
"60-A-1";22
"600-A-3E";10
"602-A-1";11
"604-A-1";7
"605-A-3C";11
"605-A-3E";8
"606-A-1";6
"607-A-1";12
"608-A-4";11
"609-A-1";2
"61-A-1";9
"610-A-4";2
"612-A-1";13
"613-A-1";2
"615-A-1";6
"616-A-1";17
"617-A-1";7
"618-A-1";6
"619-A-3E";14
"620-A-1";20
"623-A-1";20
"625-A-1";5
"632-A-1";4
"635-A-1";6
"64-A-4";3
"640-A-1";6
"641-A-1";22
"642-A-1";3
"644-A-1";4
"649-A-1";2
"65-A-1";6
"650-A-1";2
"651-A-1";5
"653-A-1";14
"654-A-1";9
"655-A-1";14
"657-A-1";5
"659-A-3C";4
"659-A-3E";20
"660-A-3C";9
"660-A-3E";18
"661-A-1";2
"662-A-1";1
"663-A-1";16
"664-A-1";19
"667-A-1";15
"668-A-1";21
"669-A-1";3
"67-A-1";6
"670-A-1";2
"672-A-1";11
"673-A-1";7
"674-A-1";14
"680-A-4";20
"682-A-1";10
"683-A-1";18
"684-A-4";20
"685-A-1";3
"686-A-1";11
"689-A-1";8
"690-A-1";19
"691-A-1";5
"692-A-1";8
"693-A-1";1
"695-A-1";1
"696-A-1";17
"698-A-1";2
"699-A-1";24
"7-A-1";14
"701-A-1";5
"702-A-1";39
"703-A-1";38
"707-A-1";3
"708-A-1";15
"709-A-1";29
"71-A-4";10
"710-A-1";4
"711-A-1";15
"712-A-1";12
"713-A-3C";8
"713-A-3E";14
"714-A-1";39
"715-A-1";13
"716-A-1";8
"717-A-1";30
"718-A-1";5
"719-A-1";5
"72-A-4";17
"721-A-1";8
"729-A-1";16
"733-A-1";33
"734-A-1";46
"735-A-1";19
"736-A-1";14
"737-A-1";5
"738-A-4C";1
"740-A-1";6
"742-A-1";1
"743-A-1";11
"744-A-1";6
"745-A-4C";6
"748-A-4";2
"749-A-1";12
"75-A-1";33
"750-A-3C";4
"750-A-3E";4
"751-A-1";17
"752-A-1";24
"753-A-4C";3
"754-A-4C";8
"755-A-1";25
"756-A-1";6
"757-A-1";5
"758-A-1";38
"759-A-1";24
"760-A-1";2
"762-A-1";3
"763-A-4C";3
"764-A-3C";14
"764-A-3E";19
"766-A-3C";5
"766-A-3E";17
"767-A-1";5
"769-A-1";11
"77-A-3C";50
"77-A-3E";16
"770-A-1";17
