"COD_parcela";"Especie";"nr_arboles"
"1688-A-3C";"21";14
"1688-A-3C";NA;1
"1688-A-3E";"21";1
"1689-A-3C";"43";2
"1689-A-3C";"857";1
"1689-A-3E";"43";16
"169-A-1";"25";48
"1691-A-1";"21";4
"1691-A-1";"45";12
"1692-A-1";"21";31
"1692-A-1";"43";6
"1692-A-1";"45";1
"1694-A-4";"21";2
"1695-A-3C";"45";21
"1696-A-3C";"21";24
"1696-A-3C";"25";24
"1696-A-3E";"25";2
"1698-A-1";NA;84
"1699-A-1";"43";15
"1699-A-1";"45";6
"1699-A-1";NA;3
"17-A-1";"25";7
"17-A-1";"45";4
"17-A-1";"276";1
"17-A-1";NA;3
"170-A-1";"24";3
"1701-A-3C";"21";30
"1701-A-3E";"21";3
"1701-A-3E";"25";38
"1703-A-1";"72";9
"1704-A-1";"43";4
"1705-A-1";"43";12
"1707-A-3C";"21";40
"1707-A-3E";"21";44
"1709-A-1";"21";24
"171-A-3C";"24";6
"171-A-3E";"24";14
"1710-A-1";"45";20
"1711-A-1";"43";20
"1711-A-1";"45";8
"1711-A-1";"57";1
"1712-A-1";"43";9
"1712-A-1";NA;2
"1713-A-3C";"43";12
"1713-A-3E";"43";1
"1719-A-1";"43";19
"1719-A-1";NA;1
"1721-A-1";"43";27
"1722-A-4C";"45";1
"1723-A-1";"21";1
"1723-A-1";"26";13
"1723-A-1";"45";6
"1723-A-1";NA;1
"1726-A-1";"25";3
"1726-A-1";"26";15
"1726-A-1";"236";3
"1736-A-1";"24";4
"1737-A-1";"24";22
"1737-A-1";NA;1
"1738-A-4";"24";8
"1744-A-1";"24";7
"1744-A-1";"26";4
"1745-A-1";"24";1
"1746-A-1";"24";3
"1748-A-3C";"24";2
"1748-A-3E";"24";5
"1749-A-1";"24";3
"175-A-1";"45";2
"1752-A-1";"24";19
"1756-A-1";"24";7
"1758-A-1";"46";3
"176-A-1";"45";2
"1761-A-1";"24";8
"1764-A-1";"45";7
"1764-A-1";NA;1
"1766-A-1";"24";1
"1766-A-1";"45";6
"177-A-1";"45";18
"1774-A-1";"25";7
"1774-A-1";"44";2
"1774-A-1";"45";10
"1776-A-4";"26";34
"178-A-1";"25";48
"178-A-1";"45";2
"178-A-1";NA;1
"1791-A-3C";"24";17
"1792-A-1";"24";25
"1794-A-3C";NA;4
"1796-A-1";"24";16
"18-A-4";"25";1
"18-A-4";"45";6
"180-A-1";"24";7
"1800-A-1";"24";4
"1802-A-1";"24";22
"1806-A-1";"24";2
"181-A-1";"24";24
"1810-A-3C";NA;1
"1810-A-3E";"24";6
"1810-A-3E";"67";4
"1811-A-3C";"24";2
"1811-A-3C";NA;1
"1811-A-3E";"24";7
"1812-A-3C";"24";5
"1812-A-3E";"24";4
"1815-A-1";"44";1
"1831-A-3C";"24";11
"1832-A-1";"24";20
"1834-A-1";"24";18
"1834-A-1";"66";3
"1837-A-1";"24";6
"1838-A-1";"26";1
"1838-A-1";"46";11
"1839-A-1";"24";5
"1839-A-1";"46";10
"184-A-1";"24";17
"1841-A-3E";"24";6
"1843-A-1";"24";11
"1843-A-1";NA;3
"1844-A-3C";"24";16
"1844-A-3C";"26";1
"1844-A-3E";"24";31
"1846-A-6C";"258";15
"1848-A-6C";"258";21
"1850-A-6C";"258";35
"1851-A-6C";"258";5
"1852-A-6C";"258";30
"1853-A-6C";"258";21
"1854-A-6C";"258";11
"1855-A-1";"45";1
"1855-A-1";"58";8
"1855-A-1";NA;25
"1859-A-1";"25";4
"1859-A-1";"26";3
"1859-A-1";"58";15
"186-A-3C";"25";5
"186-A-3C";"45";1
"186-A-3E";"45";3
"186-A-3E";"237";1
"1863-A-6C";"258";4
"1864-A-6C";"258";34
"1865-A-6C";"258";5
"1866-A-6C";"258";11
"1867-A-6C";"258";17
"187-A-1";"24";3
"1871-A-6C";"258";4
"1873-A-6C";"258";34
"1875-A-6C";"258";4
"1877-A-6C";"258";23
"1879-A-6C";"258";4
"188-A-1";"24";3
"1881-A-6C";"258";28
"189-A-4";"24";16
"19-A-1";"25";6
"19-A-1";"45";5
"190-A-4";"24";3
"192-A-1";"24";3
"193-A-4";"57";3
"193-A-4";"258";26
"194-A-1";"26";9
"195-A-3C";"24";3
"195-A-3C";"25";5
"195-A-3C";"45";1
"195-A-3E";"24";2
"195-A-3E";"25";4
"195-A-3E";"26";1
"196-A-3C";"45";11
"196-A-3E";"24";7
"196-A-3E";"45";4
"197-A-1";"24";2
"197-A-1";"25";1
"198-A-4C";"45";2
"199-A-1";"24";8
"2-A-1";"45";3
"20-A-1";"25";1
"20-A-1";"45";5
"2000-N-N";"25";9
"2000-N-N";"45";4
"2002-N-N";"25";1
"2003-N-N";"25";7
"2005-N-N";"25";7
"2005-N-N";"45";6
"2006-N-N";"25";6
"2007-N-N";"25";17
"2010-N-N";"25";12
"2011-N-N";"25";1
"2011-N-N";"45";2
"2012-N-N";"45";2
"2013-N-N";"25";2
"2014-N-N";"24";1
"2014-N-N";"25";6
"2015-N-N";"25";11
"2016-N-N";"25";25
"2016-N-N";"45";4
"2018-N-N";"25";4
"202-A-1";"24";1
"202-A-1";"25";2
"2020-N-N";"45";4
"2022-N-N";"25";25
"203-A-1";"25";13
"2030-N-N";"476";1
"2031-N-N";"24";6
"2036-N-N";"25";15
"2037-N-N";"45";3
"2039-N-N";"25";1
"204-A-1";"25";9
"2040-N-N";"25";3
"2040-N-N";"45";4
"2041-N-N";"45";4
"2044-N-N";"24";24
"2045-N-N";"24";8
"2048-N-N";"45";1
"205-A-4";"25";3
"2054-N-N";"24";1
"2055-N-N";"45";4
"2056-N-N";"24";19
"2056-N-N";"45";2
"2058-N-N";"45";1
"2059-N-N";"24";25
"206-A-1";"24";5
"206-A-1";"45";7
"2062-N-N";"24";1
"2062-N-N";"45";11
"2063-N-N";"24";7
"2063-N-N";"45";1
"2064-N-N";"25";8
"2066-N-N";"24";1
"207-A-1";"24";8
"2073-N-N";"24";16
"2074-N-N";"258";9
"2077-N-N";"24";13
"2078-N-N";"258";6
